;Ryhmät;Ryhmät_eng;Ryhmät_tiet;SUOMI;RUOTSI;LYHENNE;TIETEELLINEN;KATEGORIA;
683;Kertut;Warblers;Sylvidae;Idänuunilintu (alalaji viridanus);Lundsångare (rasen viridanus);PHYDESVIR;Phylloscopus trochiloides viridanus;R;
684;Kertut;Warblers;Sylvidae;Lapinuunilintu;Nordsångare;PHYBOR;Phylloscopus borealis;A;
685;Kertut;Warblers;Sylvidae;Hippiäisuunilintu;Kungsfågelsångare;PHYPRO;Phylloscopus proregulus;A;
686;Kertut;Warblers;Sylvidae;Hippiäisuunilintu / taigauunilintu;Kungsfågelsångare / taigasångare;PHYPRO/PHYINO;Phylloscopus proregulus/inornatus;S;
687;Kertut;Warblers;Sylvidae;Taigauunilintu;Taigasångare;PHYINO;Phylloscopus inornatus;A;
688;Kertut;Warblers;Sylvidae;Taigauunilintu / kashmirinuunilintu;Taigasångare / bergstaigasångare;PHYINO/PHYHUM;Phylloscopus inornatus/humei;S;
689;Kertut;Warblers;Sylvidae;Kashmirinuunilintu;Bergstaigasångare;PHYHUM;Phylloscopus humei;A;
690;Kertut;Warblers;Sylvidae;Siperianuunilintu;Videsångare;PHYSCH;Phylloscopus schwarzi;A;
691;Kertut;Warblers;Sylvidae;Siperianuunilintu / ruskouunilintu;Videsångare / brunsångare;PHYSCH/PHYFUS;Phylloscopus schwarzi/fuscatus;S;
692;Kertut;Warblers;Sylvidae;Ruskouunilintu;Brunsångare;PHYFUS;Phylloscopus fuscatus;A;
693;Kertut;Warblers;Sylvidae;Vuoriuunilintu;Bergsångare;PHYBON;Phylloscopus bonelli;A;
694;Kertut;Warblers;Sylvidae;Vuoriuunilintu / balkaninuunilintu;Bergsångare / balkansångare;PHYBON/PHYORI;Phylloscopus bonelli/orientalis;S;
695;Kertut;Warblers;Sylvidae;Balkaninuunilintu;Balkansångare;PHYORI;Phylloscopus orientalis;A;
696;Kertut;Warblers;Sylvidae;Sirittäjä;Grönsångare;PHYSIB;Phylloscopus sibilatrix;A;
697;Kertut;Warblers;Sylvidae;Iberiantiltaltti;Iberisk gransångare;PHYIBE;Phylloscopus ibericus;A;
698;Kertut;Warblers;Sylvidae;Tiltaltti;Gransångare;PHYCOL;Phylloscopus collybita;A;
699;Kertut;Warblers;Sylvidae;Tiltaltti (hily/hihku -ääninen);Gransångare (hily-läte);PHYCOLHILY;Phylloscopus collybita hily;R;
700;Kertut;Warblers;Sylvidae;Tiltaltti (hii -ääninen);Gransångare (hii-läte);PHYCOLHII;Phylloscopus collybita hii;R;
701;Kertut;Warblers;Sylvidae;Tiltaltti (alalaji collybita);Gransångare (rasen collybita);PHYCOLCOL;Phylloscopus collybita collybita;R;
702;Kertut;Warblers;Sylvidae;Idäntiltaltti;Gransångare (rasen tristis);PHYCOLTRI;Phylloscopus collybita tristis;R;
703;Kertut;Warblers;Sylvidae;Tiltaltti / pajulintu;Gransångare / lövsångare;PHYCOL/PHYLUS;Phylloscopus collybita/trochilus;S;
704;Kertut;Warblers;Sylvidae;Pajulintu;Lövsångare;PHYLUS;Phylloscopus trochilus;A;
705;Kertut;Warblers;Sylvidae;Hippiäinen;Kungsfågel;REGREG;Regulus regulus;A;
706;Kertut;Warblers;Sylvidae;Tulipäähippiäinen;Brandkronad kungsfågel;REGIGN;Regulus ignicapilla;A;
707;Siepot;Flycatchers;Muscicapidae;Harmaasieppolaji;Muscicapa (släktet);MUSSP;Muscicapa sp;S;
708;Siepot;Flycatchers;Muscicapidae;Harmaasieppo;Grå flugsnappare;MUSSTR;Muscicapa striata;A;
709;Siepot;Flycatchers;Muscicapidae;Kirjosieppolaji;Ficedula (släktet);FICSP;Ficedula sp;S;
710;Siepot;Flycatchers;Muscicapidae;Pikkusieppo;Mindre flugsnappare;FICPAR;Ficedula parva;A;
711;Siepot;Flycatchers;Muscicapidae;Sepelsieppo;Halsbandsflugsnappare;FICALB;Ficedula albicollis;A;
712;Siepot;Flycatchers;Muscicapidae;Sepelsieppo / kirjosieppo;Halsbandsflugsnappare / svartvit flugsnappare;FICALB/FICHYP;Ficedula albicollis/hypoleuca;S;
713;Siepot;Flycatchers;Muscicapidae;Sepelsieppo X kirjosieppo;Halsbandsflugsnappare X svartvit flugsnappare;FICALBXFICHYP;Ficedula albicollis x hypoleuca;X;
714;Siepot;Flycatchers;Muscicapidae;Kirjosieppo;Svartvit flugsnappare;FICHYP;Ficedula hypoleuca;A;
715;Timalit;Babblers, Parrotbills;Timaliidae;Viiksitimali;Skäggmes;PANBIA;Panurus biarmicus;A;
716;Pyrstötiaiset;Long-tailed Tits;Aegithalidae;Pyrstötiainen;Stjärtmes;AEGCAU;Aegithalos caudatus;A;
717;Pyrstötiaiset;Long-tailed Tits;Aegithalidae;Pyrstötiainen (alalaji europaeus);Stjärtmes (rasen europaeus);AEGCAUEUR;Aegithalos caudatus europaeus;R;
718;Pyrstötiaiset;Long-tailed Tits;Aegithalidae;Pyrstötiainen (alalaji caudatus);Stjärtmes (rasen caudatus);AEGCAUCAU;Aegithalos caudatus caudatus;R;
719;Tiaiset;Tits;Paridae;Tiaislaji;Parus (släktet);PARSP;Parus sp;S;
720;Tiaiset;Tits;Paridae;Viitatiainen;Entita;PARPAL;Parus palustris;A;
721;Tiaiset;Tits;Paridae;Hömötiainen;Talltita;PARMON;Parus montanus;A;
722;Tiaiset;Tits;Paridae;Hömötiainen X lapintiainen;Talltita X lappmes;PARMONXPARCIN;Parus montanus x cinctus;X;
723;Tiaiset;Tits;Paridae;Hömötiainen X töyhtötiainen;Talltita X tofsmes;PARMONXPARCRI;Parus montanus x cristatus;X;
724;Tiaiset;Tits;Paridae;Hömötiainen X kuusitiainen;Talltita X svartmes;PARMONXPARATE;Parus montanus x ater;X;
725;Tiaiset;Tits;Paridae;Lapintiainen;Lappmes;PARCIN;Parus cinctus;A;
726;Tiaiset;Tits;Paridae;Töyhtötiainen;Tofsmes;PARCRI;Parus cristatus;A;
727;Tiaiset;Tits;Paridae;Kuusitiainen;Svartmes;PARATE;Parus ater;A;
728;Tiaiset;Tits;Paridae;Sinitiainen;Blåmes;PARCAE;Parus caeruleus;A;
729;Tiaiset;Tits;Paridae;Sinitiainen X valkopäätiainen;Blåmes X azurmes;PARCAEXPARCYA;Parus caeruleus x cyanus;X;
730;Tiaiset;Tits;Paridae;Valkopäätiainen;Azurmes;PARCYA;Parus cyanus;A;
731;Tiaiset;Tits;Paridae;Talitiainen;Talgoxe;PARMAJ;Parus major;A;
732;Tiaiset;Tits;Paridae;Tiaisristeymä;Meshybrid;XPAR;x Parus;X;
733;Pähkinänakkelit;Nuthatches;Sittidae;Pähkinänakkeli;Nötväcka;SITEUR;Sitta europaea;A;
734;Pähkinänakkelit;Nuthatches;Sittidae;Pähkinänakkeli (alalaji europaea);Nötväcka (rasen europaea);SITEUREUR;Sitta europaea europaea;R;
735;Pähkinänakkelit;Nuthatches;Sittidae;Pähkinänakkeli (alalaji asiatica);Nötväcka (rasen asiatica);SITEURASI;Sitta europaea asiatica;R;
736;Puukiipijät;Treecreepers;Certhiidae;Puukiipijälaji;Certhia (släktet);CERTHSP;Certhia sp;S;
737;Puukiipijät;Treecreepers;Certhiidae;Puukiipijä;Trädkrypare;CERFAM;Certhia familiaris;A;
738;Pussitiaiset;Penduline Tits;Remizidae;Pussitiainen;Pungmes;REMPEN;Remiz pendulinus;A;
739;Kuhankeittäjät;Orioles;Oriolidae;Kuhankeittäjä;Sommargylling;ORIORI;Oriolus oriolus;A;
740;Lepinkäiset;Shrikes;Laniidae;Lepinkäislaji;Lanius (släktet);LANSP;Lanius sp;S;
741;Lepinkäiset;Shrikes;Laniidae;Punapyrstölepinkäinen;Isabellatörnskata;LANISA;Lanius isabellinus;A;
742;Lepinkäiset;Shrikes;Laniidae;Punapyrstölepinkäinen (alalaji phoenicuroides);Isabellatörnskata (rasen phoenicuroides);LANISAPHO;Lanius isabellinus phoenicuroides;R;
743;Lepinkäiset;Shrikes;Laniidae;Punapyrstölepinkäinen (alalaji isabellinus);Isabellatörnskata (rasen isabellinus);LANISAISA;Lanius isabellinus isabellinus;R;
744;Lepinkäiset;Shrikes;Laniidae;Punapyrstölepinkäinen (alalaji arenarius);Isabellatörnskata (rasen arenarius);LANISAARE;Lanius isabellinus arenarius;R;
745;Lepinkäiset;Shrikes;Laniidae;Pikkulepinkäinen;Törnskata;LANCOL;Lanius collurio;A;
746;Lepinkäiset;Shrikes;Laniidae;Mustaotsalepinkäinen;Svartpannad törnskata;LANMIN;Lanius minor;A;
747;Lepinkäiset;Shrikes;Laniidae;Isolepinkäinen;Varfågel;LANEXC;Lanius excubitor;A;
748;Lepinkäiset;Shrikes;Laniidae;Isolepinkäinen (alalaji excubitor);Varfågel (rasen excubitor);LANEXCEXC;Lanius excubitor excubitor;R;
749;Lepinkäiset;Shrikes;Laniidae;Isolepinkäinen (alalaji homeyeri);Varfågel (rasen homeyeri);LANEXCHOM;Lanius excubitor homeyeri;R;
750;Lepinkäiset;Shrikes;Laniidae;Isolepinkäinen (alalaji sibiricus);Varfågel (rasen sibiricus);LANEXCSIB;Lanius excubitor sibiricus;R;
751;Lepinkäiset;Shrikes;Laniidae;Etelänisolepinkäinen;ökenvarfågel;LANMER;Lanius meridionalis;A;
752;Lepinkäiset;Shrikes;Laniidae;Etelänisolepinkäinen (alalaji meridionalis);ökenvarfågel (rasen meridionalis);LANMERMER;Lanius meridionalis meridionalis;R;
753;Lepinkäiset;Shrikes;Laniidae;Etelänisolepinkäinen (alalaji pallidirostris);ökenvarfågel (rasen pallidirostris);LANMERPAL;Lanius meridionalis pallidirostris;R;
754;Lepinkäiset;Shrikes;Laniidae;Punapäälepinkäinen;Rödhuvad törnskata;LANSEN;Lanius senator;A;
755;Lepinkäiset;Shrikes;Laniidae;Valko-otsalepinkäinen;Masktörnskata;LANNUB;Lanius nubicus;A;
756;Varikset;Crows, Jays;Corvidae;Närhi;Nötskrika;GARGLA;Garrulus glandarius;A;
757;Varikset;Crows, Jays;Corvidae;Kuukkeli;Lavskrika;PERINF;Perisoreus infaustus;A;
758;Varikset;Crows, Jays;Corvidae;Harakka;Skata;PICPIC;Pica pica;A;
759;Varikset;Crows, Jays;Corvidae;Pähkinähakki;Nötkråka;NUCCAR;Nucifraga caryocatactes;A;
760;Varikset;Crows, Jays;Corvidae;Pähkinähakki (alalaji caryocatactes);Nötkråka (rasen caryocatactes);NUCCARCAR;Nucifraga caryocatactes caryocatactes;R;
761;Varikset;Crows, Jays;Corvidae;Pähkinähakki (alalaji macrorhynchos);Nötkråka (rasen macrorhynchos);NUCCARMAC;Nucifraga caryocatactes macrorhynchos;R;
762;Varikset;Crows, Jays;Corvidae;Varislaji;Corvus (släktet);CORSP;Corvus sp;S;
763;Varikset;Crows, Jays;Corvidae;Naakka;Kaja;CORMON;Corvus monedula;A;
764;Varikset;Crows, Jays;Corvidae;Idännaakka;Klippkaja;CORDAU;Corvus dauuricus;B;
765;Varikset;Crows, Jays;Corvidae;Mustavaris;Råka;CORFRU;Corvus frugilegus;A;
766;Varikset;Crows, Jays;Corvidae;Varis;Kråka;CORNIX;Corvus corone cornix;R;
767;Varikset;Crows, Jays;Corvidae;Nokivaris;Kråka (rasen corone);CORONEONE;Corvus corone corone;R;
768;Varikset;Crows, Jays;Corvidae;Varis X nokivaris;Kråka X kråka (rasen corone);CORNIXXCORONEONE;Corvus corone cornix x corone;X;
769;Varikset;Crows, Jays;Corvidae;Korppi;Korp;CORRAX;Corvus corax;A;
770;Varikset;Crows, Jays;Corvidae;Korppi / varis / mustavaris;Korp / kråka / råka;ICOR;Iso Corvus;S;
771;Kottaraiset;Starlings;Sturnidae;Kottarainen;Stare;STUVUL;Sturnus vulgaris;S;
772;Kottaraiset;Starlings;Sturnidae;Punakottarainen;Rosenstare;STUROS;Sturnus roseus;S;
773;Kottaraiset;Starlings;Sturnidae;Kiinankottarainen;Mandarinstare;STUSIN;Sturnus sinensis;E;
774;Kottaraiset;Starlings;Sturnidae;Viirupääkottarainen;Gråstare;STUCIN;Sturnus cineraceus;E;
775;Varpuset;Sparrows;Passeridae;Varpuslaji;Passer (släktet);PASSP;Passer sp;S;
776;Varpuset;Sparrows;Passeridae;Varpunen;Gråsparv;PASDOM;Passer domesticus;A;
777;Varpuset;Sparrows;Passeridae;Varpunen X pikkuvarpunen;Gråsparv X pilfink;PASDOMXPASMON;Passer domesticus x montanus;X;
778;Varpuset;Sparrows;Passeridae;Pensasvarpunen;Spansk sparv;PASHIS;Passer hispaniolensis;A;
779;Varpuset;Sparrows;Passeridae;Pikkuvarpunen;Pilfink;PASMON;Passer montanus;A;
780;Peipot;Finches;Fringillidae;Peippolaji;Fringilla (släktet);FRISP;Fringilla sp;S;
781;Peipot;Finches;Fringillidae;Peippo;Bofink;FRICOE;Fringilla coelebs;A;
782;Peipot;Finches;Fringillidae;Järripeippo;Bergfink;FRIMON;Fringilla montifringilla;A;
783;Peipot;Finches;Fringillidae;Keltahemppo;Gulhämpling;SERSER;Serinus serinus;A;
784;Peipot;Finches;Fringillidae;Kanarianhemppo;Kanariefågel;SERCAN;Serinus canariensis;E;
785;Peipot;Finches;Fringillidae;Sitruunahemppo;Citronsiska;SERCIT;Serinus citrinella;D;
786;Peipot;Finches;Fringillidae;Tiklilaji;Carduelis (släktet);CARSP;Carduelis sp;S;
787;Peipot;Finches;Fringillidae;Viherpeippo;Grönfink;CARCHL;Carduelis chloris;A;
788;Peipot;Finches;Fringillidae;Tikli;Steglits;CARCAR;Carduelis carduelis;A;
789;Peipot;Finches;Fringillidae;Vihervarpunen;Grönsiska;CARSPI;Carduelis spinus;A;
790;Peipot;Finches;Fringillidae;Hemppo;Hämpling;CARCAN;Carduelis cannabina;A;
791;Peipot;Finches;Fringillidae;Vuorihemppo;Vinterhämpling;CARRIS;Carduelis flavirostris;A;
792;Peipot;Finches;Fringillidae;Urpiainen;Gråsiska;CARMEA;Carduelis flammea;A;
793;Peipot;Finches;Fringillidae;Ruskourpiainen;Gråsiska (rasen cabaret);CARMEACAB;Carduelis flammea cabaret;R;
794;Peipot;Finches;Fringillidae;Urpiainen / tundraurpiainen;Gråsiska / snösiska;CARMEA/CARHOR;Carduelis flammea/hornemanni;S;
795;Peipot;Finches;Fringillidae;Tundraurpiainen;Snösiska;CARHOR;Carduelis hornemanni;A;
796;Peipot;Finches;Fringillidae;Käpylintulaji;Loxia (släktet);LOXSP;Loxia sp;S;
797;Peipot;Finches;Fringillidae;Kirjosiipikäpylintu;Bändelkorsnäbb;LOXLEU;Loxia leucoptera;A;
798;Peipot;Finches;Fringillidae;Kirjosiipikäpylintu / pikkukäpylintu;Bändelkorsnäbb / mindre korsnäbb;LOXLEU/LOXCUR;Loxia leucoptera/curvirostra;S;
799;Peipot;Finches;Fringillidae;Pikkukäpylintu;Mindre korsnäbb;LOXCUR;Loxia curvirostra;A;
800;Peipot;Finches;Fringillidae;Pikkukäpylintu / isokäpylintu;Mindre korsnäbb / större korsnäbb;LOXCUR/LOXPYT;Loxia curvirostra/pytyopsittacus;S;
801;Peipot;Finches;Fringillidae;Isokäpylintu;Större korsnäbb;LOXPYT;Loxia pytyopsittacus;A;
802;Peipot;Finches;Fringillidae;Aavikkotulkkulaji;Bucanetes (släktet);BUCANSP;Bucanetes sp;S;
803;Peipot;Finches;Fringillidae;Aavikkotulkku;ökentrumpetare;BUCGIT;Bucanetes githagineus;A;
804;Peipot;Finches;Fringillidae;Punavarpuslaji;Carpodacus (släktet);CARPOSP;Carpodacus sp;S;
805;Peipot;Finches;Fringillidae;Punavarpunen;Rosenfink;CARERY;Carpodacus erythrinus;A;
806;Peipot;Finches;Fringillidae;Taviokuurna;Tallbit;PINENU;Pinicola enucleator;A;
807;Peipot;Finches;Fringillidae;Pyrstötulkku;Långstjärtad rosenfink;URASIB;Uragus sibiricus;E;
808;Peipot;Finches;Fringillidae;Punatulkku;Domherre;PYRPYR;Pyrrhula pyrrhula;A;
809;Peipot;Finches;Fringillidae;Nokkavarpunen;Stenknäck;COCCOC;Coccothraustes coccothraustes;A;
810;Peipot;Finches;Fringillidae;Japaninnokkavarpunen;Större maskstenknäck;EOPPER;Eophona personata;E;
811;Kerttulit;New World Warblers;Parulidae;Viirukerttuli;Vitkindad skogssångare;DENSTR;Dendroica striata;A;
812;Sirkut;Buntings, New World Sparrows;Emberizidae;Valkokurkkusirkku;Vitstrupig sparv;ZONALB;Zonotrichia albicollis;A;
813;Sirkut;Buntings, New World Sparrows;Emberizidae;Lapinsirkku;Lappsparv;CALLAP;Calcarius lapponicus;A;
814;Sirkut;Buntings, New World Sparrows;Emberizidae;Pulmunen;Snösparv;PLENIV;Plectrophenax nivalis;A;
815;Sirkut;Buntings, New World Sparrows;Emberizidae;Sirkkulaji;Emberiza (släktet);EMBSP;Emberiza spodocephala;A;
816;Sirkut;Buntings, New World Sparrows;Emberizidae;Harmaapääsirkku;Gråhuvad sparv;EMBSPO;Emberiza sp;S;
817;Sirkut;Buntings, New World Sparrows;Emberizidae;Mäntysirkku;Tallsparv;EMBLEU;Emberiza leucocephalos;A;
818;Sirkut;Buntings, New World Sparrows;Emberizidae;Mäntysirkku X keltasirkku;Tallsparv X gulsparv;EMBLEUXEMBCIT;Emberiza leucocephalos x citrinella;X;
819;Sirkut;Buntings, New World Sparrows;Emberizidae;Keltasirkku;Gulsparv;EMBCIT;Emberiza citrinella;A;
820;Sirkut;Buntings, New World Sparrows;Emberizidae;Kivikkosirkku;Bergortolansparv;EMBBUC;Emberiza buchanani;A;
821;Sirkut;Buntings, New World Sparrows;Emberizidae;Peltosirkku;Ortolansparv;EMBHOR;Emberiza hortulana;A;
822;Sirkut;Buntings, New World Sparrows;Emberizidae;Ruostekurkkusirkku;Rostsparv;EMBCAE;Emberiza caesia;A;
823;Sirkut;Buntings, New World Sparrows;Emberizidae;Pohjansirkku;Videsparv;EMBRUS;Emberiza rustica;A;
824;Sirkut;Buntings, New World Sparrows;Emberizidae;Pohjansirkku / pikkusirkku / kultasirkku;Videsparv / dvärgsparv / gyllensparv;EMBRUS/EMBPUS/EMBAUR;Emberiza rustica/pusilla/aureola;S;
825;Sirkut;Buntings, New World Sparrows;Emberizidae;Pikkusirkku;Dvärgsparv;EMBPUS;Emberiza pusilla;A;
826;Sirkut;Buntings, New World Sparrows;Emberizidae;Kastanjasirkku;Rödbrun sparv;EMBRUT;Emberiza rutila;A;
827;Sirkut;Buntings, New World Sparrows;Emberizidae;Kultasirkku;Gyllensparv;EMBAUR;Emberiza aureola;A;
828;Sirkut;Buntings, New World Sparrows;Emberizidae;Pajusirkku;Sävsparv;EMBSCH;Emberiza schoeniclus;A;
829;Sirkut;Buntings, New World Sparrows;Emberizidae;Ruskopääsirkku;Stäppsparv;EMBBRU;Emberiza bruniceps;E;
830;Sirkut;Buntings, New World Sparrows;Emberizidae;Ruskopääsirkku / mustapääsirkku;Stäppsparv / svarthuvad sparv;EMBBRU/EMBMEL;Emberiza bruniceps/melanocephala;S;
831;Sirkut;Buntings, New World Sparrows;Emberizidae;Mustapääsirkku;Svarthuvad sparv;EMBMEL;Emberiza melanocephala;A;
832;Sirkut;Buntings, New World Sparrows;Emberizidae;Harmaasirkku;Kornsparv;EMBCAL;Emberiza calandra;A;
833;Sirkut;Buntings, New World Sparrows;Emberizidae;Niittysirkku;ängssparv;EMBCIO;Emberiza cioides;E;
834;Sirkut;Buntings, New World Sparrows;Emberizidae;Kultatöyhtösirkku;Praktsparv;EMBELE;Emberiza elegans;E;
835;Sirkut;Buntings, New World Sparrows;Emberizidae;Indigokardinaali;Indigofink;PASCYA;Passerina cyanea;D;
836;Sirkut;Buntings, New World Sparrows;Emberizidae;Turkoosikardinaali;Lazulifink;PASAMO;Passerina amoena;E;
837;Sirkut;Buntings, New World Sparrows;Emberizidae;Sateenkaarikardinaali;Påvefink;PASCIR;Passerina ciris;E;
838;;;;Hanhi / merimetso;Gås / skarv;ANS/BRA/PHA;Anser/Branta/Phalacrocorax;S;
839;;;;Hanhi / vesilintu;Gås / sjöfågel;ANS/BRA/V;Hanhi / vesilintu;S;
840;;;;Iso lintu;Stor fågel;IL;Iso lintu;S;
841;;;;Vesilintu / kahlaaja;Sjöfågel / vadare;V/K;Vesilintu / kahlaaja;S;
842;;;;Tilhi / kottarainen;Sidensvans / stare;BOM/STU;Bombycilla garrulus/Sturnus vulgaris;S;
843;;;;Pikkulintu;Ob. småfågel;PL;Pikkulintu;S;
844;;;;Lintu;Ob. fågel;AVIS;Lintu;S;
845;;;;Iso pikkulintu;Stor småfågel;IPL;Iso pikkulintu;S;
846;;;;Keskikokoinen pikkulintu;Medelstor småfågel;KPL;Keskikokoinen pikkulintu;S;
847;;;;Pieni pikkulintu;Liten småfågel;PPL;Pieni pikkulintu;S;
848;;;;Pieni / keskikokoinen pikkulintu;Liten / medelstor småfågel;PPL/KPL;Pieni / keskikokoinen pikkulintu;S;
849;;;;Keskikokoinen / iso pikkulintu;Medelstor / stor småfågel;KPL/IPL;Keskikokoinen / iso pikkulintu;S;
850;;;;Risteymä;Ob. hybrid;XX;Risteymä;X;
